name,idx
Pseudomonas phage JBD5,1250
Pseudomonas phage JBD67,1251
Pseudomonas phage JBD69,1252
Pseudomonas phage JBD88a,1253
Pseudomonas phage JBD93,1254
Pseudomonas phage JD024,1255
Pseudomonas phage MP42,1256
Pseudomonas phage MP48,1257
Pseudomonas phage vB_PaeS_PAO1_Ab30,1258
Pseudomonas phage vB_PaeS_PM105,1259
Rhizobium phage vB_RleM_P10VF,126
Rhizobium phage vB_RleM_PPF1,1260
Rhodobacter phage RcapMu,1261
Salmonella phage 118970_sal3,1262
Salmonella phage ST64B,1263
Cronobacter phage phiES15,1264
Enterobacteria phage mEp237,1265
Escherichia phage HK639,1266
Rhizobium phage vB_RleS_L338C,1267
Enterobacter phage Tyrion,1268
Erwinia phage phiEt88,1269
Sinorhizobium phage phiM12,127
Escherichia phage TL-2011b,1270
Escherichia phage phiV10,1271
Pseudomonas phage vB_PaeP_Tr60_Ab31,1272
Salmonella phage SPN1S,1273
Butyrivibrio virus Arawn,1274
Lactobacillus phage Ld17,1275
Lactobacillus phage Ld25A,1276
Lactobacillus phage Ld3,1277
Lactobacillus phage phiLdb,1278
Caulobacter phage CcrBL9,1279
Sinorhizobium phage phiM7,128
Caulobacter phage CcrBL10,1280
Caulobacter phage CcrColossus,1281
Caulobacter phage CcrPW,1282
Caulobacter phage CcrSC,1283
Sphingobium phage Lacusarx,1284
Citrobacter phage CVT22,1285
Celeribacter phage P12053L,1286
Lentibacter virus vB_LenP_ICBM1,1287
Lentibacter virus vB_LenP_ICBM2,1288
Pseudoalteromonas phage RIO-1,1289
Sinorhizobium phage phiM9,129
Puniceispirillum phage HMO-2011,1290
Salinivibrio phage CW02,1291
Vibrio phage ICP2,1292
Vibrio phage ICP2_2013_A_Haiti,1293
Cellulophaga phage phi13:2,1294
Cellulophaga phage phi10:1,1295
Cellulophaga phage phi18:3,1296
Cellulophaga phage phi19:1,1297
Cellulophaga phage phi19:3,1298
Cellulophaga phage phi46:3,1299
Pseudomonas phage PAE1,13
Sinorhizobium phage phiN3,130
Flavobacterium phage 11b,1300
Cellulophaga phage phi17:1,1301
Cellulophaga phage phi12:1,1302
Cellulophaga phage phi18:1,1303
Flavobacterium phage vB_FspM_lotta8-1,1304
Flavobacterium phage vB_FspM_pippi8-1,1305
Cellulophaga phage phi38:1,1306
Flavobacterium phage vB_FspS_filifjonk9-1,1307
Flavobacterium phage vB_FspS_hattifnatt9-1,1308
Flavobacterium phage vB_FspS_hemulen6-1,1309
Stenotrophomonas phage Mendera,131
