contig_id,proteins
Clavibacter~phage~CN1A,78
Clostridium~phage~CDKM15,79
Clostridium~phage~CDKM9,75
Clostridium~phage~CPD2,22
Clostridium~phage~CPS1,25
Clostridium~phage~CPS2,25
Clostridium~phage~PhiS63,43
Clostridium~phage~c-st,198
Clostridium~phage~phi24R,22
Clostridium~phage~phi3626,51
Clostridium~phage~phi8074-B1,82
Clostridium~phage~phiCD111,55
Clostridium~phage~phiCD146,52
Clostridium~phage~phiCD211,190
Clostridium~phage~phiCD38-2,55
Clostridium~phage~phiCD481-1,54
Clostridium~phage~phiCD505,76
Clostridium~phage~phiCD506,53
Clostridium~phage~phiCD6356,59
Clostridium~phage~phiCDHM14,50
Clostridium~phage~phiCDHM19,88
Clostridium~phage~phiCP13O,55
Clostridium~phage~phiCP26F,49
Clostridium~phage~phiCP34O,52
Clostridium~phage~phiCP7R,26
Clostridium~phage~phiCPV4,28
Clostridium~phage~phiCT19406A,67
Clostridium~phage~phiCT19406B,66
Clostridium~phage~phiCT19406C,63
Clostridium~phage~phiCT453A,62
Clostridium~phage~phiCT453B,61
Clostridium~phage~phiCT9441A,77
Clostridium~phage~phiCTC2A,67
Clostridium~phage~phiCTC2B,66
Clostridium~phage~phiCTP1,86
Clostridium~phage~phiMMP01,81
Clostridium~phage~phiMMP02,76
Clostridium~phage~phiMMP03,93
Clostridium~phage~phiMMP04,51
Clostridium~phage~phiSM101,53
Clostridium~phage~phiZP2,27
Clostridium~phage~susfortuna,28
Clostridium~phage~vB_CpeS-CP51,50
Corynebacterium~phage~Adelaide,57
Corynebacterium~phage~BFK20,54
Corynebacterium~phage~C3PO,93
Corynebacterium~phage~Darwin,94
Corynebacterium~phage~Dina,63
Corynebacterium~phage~Juicebox,59
Corynebacterium~phage~Lederberg,60
Corynebacterium~phage~P1201,97
Corynebacterium~phage~Poushou,54
Corynebacterium~phage~SamW,60
Corynebacterium~phage~StAB,61
Corynebacterium~phage~Stiles,54
Corynebacterium~phage~Zion,92
Corynebacterium~phage~phi673,56
Corynebacterium~phage~phi674,54
Croceibacter~phage~P2559S,68
Croceibacter~phage~P2559Y,51
Cronobacter~phage~CR3,265
Cronobacter~phage~CR5,231
Cronobacter~phage~CR8,269
Cronobacter~phage~CR9,281
Cronobacter~phage~CS01,75
Cronobacter~phage~ENT39118,38
Cronobacter~phage~ENT47670,46
Cronobacter~phage~ESSI-2,43
Cronobacter~phage~GW1,49
Cronobacter~phage~PBES~02,270
Cronobacter~phage~S13,268
Cronobacter~phage~phiES15,52
Cronobacter~phage~vB_CsaM_GAP161,275
Cronobacter~phage~vB_CsaM_GAP31,269
Cronobacter~phage~vB_CsaM_GAP32,545
Cronobacter~phage~vB_CsaM_leE,284
Cronobacter~phage~vB_CsaP_GAP52,115
Curvibacter~phage~P26059B,46
Cyanophage~9515-10a,55
Cyanophage~NATL1A-7,65
Cyanophage~NATL2A-133,62
Cyanophage~P-SSP2,56
Cyanophage~P-TIM40,235
Cyanophage~PP,41
Cyanophage~PSS2,131
Cyanophage~S-TIM4,235
Cyanophage~S-TIM5,180
Deep-sea~thermophilic~phage~D6E,49
Delftia~phage~IME-DE1,48
Delftia~phage~PhiW-14,236
Delftia~phage~RG-2014,88
Dickeya~phage~BF25/12,51
Dickeya~phage~Dagda,53
Dickeya~phage~Katbat,52
Dickeya~phage~Luksen,53
Dickeya~phage~Mysterion,53
Dickeya~phage~Ninurta,46
Dickeya~phage~RC-2014,196
Dickeya~phage~vB_DsoM_AD1,330
Dickeya~phage~vB_DsoM_JA11,321
